,decade,title,author,act,normalizedGenre,numOfSpeakersMale,numOfSpeakersFemale,numOfActs,meanNEUTRAL,meanPOSITIVE,meanNEGATIVE,meanSKIP,meanSPEECH,countNEUTRAL,countPOSITIVE,countNEGATIVE,countSKIP,countSPEECH,avg_text_len,totalCOUNT,percentNEUTRAL,percentPOSITIVE,percentNEGATIVE,percentSKIP,percentSPEECH
87,1780,Американцы,Крылов,1,NotStated,5,4,2,0.830141413256638,0.7459706813097,0.804569820111448,0.633168341115464,0.563311457633972,133,16,66,43,1,87.5444015444015,259,51.3513513513514,6.17760617760618,25.4826254826255,16.6023166023166,0.386100386100386
88,1780,Американцы,Крылов,2,NotStated,5,4,2,0.763778083283326,0.777707142489297,0.828350717245146,0.649179382098688,,58,28,43,37,0,108,166,34.9397590361446,16.8674698795181,25.9036144578313,22.289156626506,0
126,1780,"Траур, или Утешенная вдова",Княжнин,1,Comedy,4,2,2,0.846798007394753,0.723073470592499,0.857526008235781,0.641375440172851,0.943579832712809,102,5,38,32,3,94.1611111111111,180,56.6666666666667,2.77777777777778,21.1111111111111,17.7777777777778,1.66666666666667
127,1780,"Траур, или Утешенная вдова",Княжнин,2,Comedy,4,2,2,0.8549581334946,0.822380793722052,0.84576327122491,0.606236351728439,0.789775878190994,94,19,29,25,2,96.8461538461538,169,55.6213017751479,11.2426035502959,17.1597633136095,14.792899408284,1.18343195266272
187,1800,Подщипа или Трумф,Крылов,1,Comedy,5,3,2,0.819914453703424,0.855423549811045,0.826627649758991,0.749921322502989,,23,3,19,47,0,134.663043478261,92,25,3.26086956521739,20.6521739130435,51.0869565217391,0
188,1800,Подщипа или Трумф,Крылов,2,Comedy,5,3,2,0.838846872959818,0.780690725360598,0.732942660008707,0.757583807222545,0.562498986721039,56,14,31,96,1,59.2525252525253,198,28.2828282828283,7.07070707070707,15.6565656565657,48.4848484848485,0.505050505050505
266,1840,Женитьба,Гоголь,1,Comedy,8,4,2,0.861298888339661,0.761075831949711,0.814046972032104,0.625630328601057,0.868554204702377,256,24,56,44,4,91.0963541666667,384,66.6666666666667,6.25,14.5833333333333,11.4583333333333,1.04166666666667
267,1840,Женитьба,Гоголь,2,Comedy,8,4,2,0.86563292055419,0.802228001031009,0.825817353195614,0.613389139374097,0.734208424886068,198,22,63,36,3,94.2857142857143,322,61.4906832298137,6.83229813664596,19.5652173913044,11.1801242236025,0.93167701863354
283,1840,Шила в мешке не утаишь – девушки под замком не удержишь,Некрасов,1,Comedy,4,2,2,0.850722173588318,0.762412940080349,0.76319583104207,0.675551729167209,,114,13,26,34,0,120.593582887701,187,60.9625668449198,6.95187165775401,13.903743315508,18.1818181818182,0
284,1840,Шила в мешке не утаишь – девушки под замком не удержишь,Некрасов,2,Comedy,4,2,2,0.837223567289881,0.84550948937734,0.861209164647495,0.615976762026548,0.746461123228073,101,6,34,16,2,109.295597484277,159,63.5220125786164,3.77358490566038,21.3836477987421,10.062893081761,1.25786163522013
295,1850,В чужом пиру похмелье,Островский,1,Comedy,5,5,2,0.822342595016515,0.711652298768361,0.848764657974243,0.649000586941838,0.929638564586639,108,3,65,32,3,102.54028436019,211,51.1848341232227,1.4218009478673,30.8056872037915,15.1658767772512,1.4218009478673
296,1850,В чужом пиру похмелье,Островский,2,Comedy,5,5,2,0.837461915341291,0.804515981011921,0.752624387090856,0.649680589990957,0.99088180065155,110,9,44,28,1,80.4322916666667,192,57.2916666666667,4.6875,22.9166666666667,14.5833333333333,0.520833333333333
320,1850,Нахлебник,Тургенев,1,Comedy,9,4,2,0.881717177737465,0.862492770984255,0.745985204326934,0.648365299369014,0.841622769832611,287,29,69,43,11,71.1343963553531,439,65.375854214123,6.60592255125285,15.7175398633257,9.79498861047836,2.50569476082005
321,1850,Нахлебник,Тургенев,2,Comedy,9,4,2,0.871151308268309,0.825587089766156,0.805556534803831,0.63032894011806,0.776131922006607,200,22,65,34,10,100.97583081571,331,60.4229607250755,6.64652567975831,19.6374622356496,10.2719033232628,3.02114803625378
