,decade,title,author,act,normalizedGenre,numOfSpeakersMale,numOfSpeakersFemale,numOfActs,meanNEUTRAL,meanPOSITIVE,meanNEGATIVE,meanSKIP,meanSPEECH,countNEUTRAL,countPOSITIVE,countNEGATIVE,countSKIP,countSPEECH,avg_text_len,totalCOUNT,percentNEUTRAL,percentPOSITIVE,percentNEGATIVE,percentSKIP,percentSPEECH
269,1840,Игроки,Гоголь,0,Comedy,9,0,0,0.880626099850192,0.81525747789893,0.775071980084403,0.578459837719014,0.725912362337112,330,43,59,38,8,101.872384937239,478,69.0376569037657,8.99581589958159,12.3430962343096,7.94979079497908,1.67364016736402
270,1840,Лакейская,Гоголь,0,NotStated,7,2,0,0.866114783172424,0.791567349433899,0.689378187060356,0.626493495702744,0.480438381433487,52,5,10,10,1,100.076923076923,78,66.6666666666667,6.41025641025641,12.8205128205128,12.8205128205128,1.28205128205128
275,1840,Неосторожность,Тургенев,0,NotStated,4,2,0,0.856354944190933,0.754892717237058,0.807237784266472,0.588016826311747,0.645451247692108,206,23,100,75,4,121.323529411765,408,50.4901960784314,5.63725490196079,24.5098039215686,18.3823529411765,0.980392156862745
276,1840,Отрывок,Гоголь,0,NotStated,3,1,0,0.868706759524672,0.891088545322418,0.773315924185294,0.611086566533361,0.724952101707459,73,4,27,14,2,166.391666666667,120,60.8333333333333,3.33333333333333,22.5,11.6666666666667,1.66666666666667
277,1840,Семейная картина,Островский,0,NotStated,2,4,0,0.827814960653342,0.893940574593014,0.780199721455574,0.629311047072681,0.952623754739761,103,9,28,53,2,134.220512820513,195,52.8205128205128,4.61538461538462,14.3589743589744,27.1794871794872,1.02564102564103
278,1840,Театральный разъезд после представления новой комедии,Гоголь,0,NotStated,88,4,0,0.871317498923577,0.789314790566762,0.841345134208787,0.578105970223745,0.831233441829681,194,15,53,15,2,196.974910394265,279,69.5340501792115,5.37634408602151,18.9964157706093,5.37634408602151,0.716845878136201
279,1840,Тяжба,Гоголь,0,NotStated,3,0,0,0.871295522277554,0.68428410589695,0.78754612532529,0.631917083263397,0.68123471736908,48,4,11,5,1,140.63768115942,69,69.5652173913043,5.79710144927536,15.9420289855072,7.2463768115942,1.44927536231884
285,1840,Юность Ломоносова,Некрасов,0,NotStated,3,1,0,0.767201042175293,0.902126526832581,0.828989674647649,0.62512571496122,0.857366740703583,30,5,12,17,1,150.938461538462,65,46.1538461538462,7.69230769230769,18.4615384615385,26.1538461538462,1.53846153846154
294,1850,Блонды,Прутков,0,NotStated,2,1,0,0.902356379010059,0.778994520505269,0.823570717783535,0.641520172357559,0.939663112163544,54,9,17,10,2,79.6195652173913,92,58.6956521739131,9.78260869565217,18.4782608695652,10.8695652173913,2.17391304347826
297,1850,Вечер в Сорренте,Тургенев,0,NotStated,5,2,0,0.888737939247469,0.813249020015492,0.760322843988737,0.742565023899078,0.890855312347412,147,17,30,30,2,80.3407079646018,226,65.0442477876106,7.52212389380531,13.2743362831858,13.2743362831858,0.884955752212389
298,1850,Воспитанница,Островский,0,NotStated,4,6,0,0.826749219670651,0.870278420858085,0.842860136383264,0.629705088577051,0.944807521998882,309,32,129,87,8,87.1203539823009,565,54.6902654867257,5.66371681415929,22.8318584070797,15.3982300884956,1.41592920353982
324,1850,Не сошлись характерами!,Островский,0,NotStated,7,6,0,0.872532311277311,0.767785967638095,0.803921693219588,0.617534165403673,0.869574440377099,244,24,52,56,7,82.6631853785901,383,63.7075718015666,6.26631853785901,13.5770234986945,14.621409921671,1.82767624020888
332,1850,Неожиданный случай,Островский,0,NotStated,2,2,0,0.858145965660205,0.815608016469262,0.830338340090669,0.616637564897537,0.686689674854279,244,33,92,25,9,81.3870967741936,403,60.545905707196,8.18858560794045,22.8287841191067,6.20347394540943,2.23325062034739
336,1850,Праздничный сон — до обеда,Островский,0,NotStated,2,8,0,0.854706338364212,0.823546864589055,0.825070496215377,0.610843595049598,0.904170358882231,311,30,86,55,17,63.3507014028056,499,62.3246492985972,6.01202404809619,17.2344689378758,11.0220440881764,3.40681362725451
337,1850,Провинциалка,Тургенев,0,Comedy,5,2,0,0.875942126909892,0.792877297420971,0.761346784454805,0.600756599789574,0.666252881288528,375,61,54,63,2,79.4558558558559,555,67.5675675675676,10.990990990991,9.72972972972973,11.3513513513514,0.36036036036036
338,1850,Разговор на большой дороге,Тургенев,0,NotStated,3,0,0,0.844788935805155,0.82511003613472,0.797815947338592,0.628189965018204,0.806514799594879,121,10,43,28,1,105.532019704434,203,59.6059113300493,4.92610837438424,21.1822660098522,13.7931034482759,0.492610837438424
349,1850,Спор древних греческих философов об изящном,Прутков,0,NotStated,2,0,0,0.885315988745008,0.771077413450588,0.57360565662384,0.611105054616928,,14,11,3,4,0,30.71875,32,43.75,34.375,9.375,12.5,0
350,1850,Утро молодого человека,Островский,0,NotStated,9,0,0,0.874675586725931,0.869154053429763,0.836426514116201,0.565035904447238,0.770676205555598,159,12,22,18,3,75.1542056074766,214,74.2990654205608,5.60747663551402,10.2803738317757,8.41121495327103,1.40186915887851
351,1850,Фантазия,Прутков,0,Comedy,8,4,0,0.850545489726289,0.81995755072796,0.853441103341732,0.699762434744444,0.93301006158193,193,33,47,61,6,70.8676470588235,340,56.7647058823529,9.70588235294118,13.8235294117647,17.9411764705882,1.76470588235294
352,1850,Чиновник,Соллогуб,0,Comedy,5,1,0,0.8953199647367,0.8699467276985,0.791299203860349,0.601631281276544,0.855643153190613,384,22,58,48,4,100.21511627907,516,74.4186046511628,4.26356589147287,11.2403100775194,9.30232558139535,0.775193798449612
368,1860,Дмитрий Самозванец и Василий Шуйский,Островский,0,NotStated,70,5,0,0.791308669292409,0.792467443893353,0.762204598449171,0.624796243421003,0.744127727217145,552,24,160,204,9,109.539515279241,949,58.1664910432034,2.52897787144363,16.8598524762908,21.4963119072708,0.948366701791359
