normalizedGenre,title,decade,author,numOfActs,percentNEUTRAL,percentPOSITIVE,percentNEGATIVE,percentSKIP,percentSPEECH
Tragedy,Филомела,1790,Крылов,5,14.9338978015449,1.22549019607843,47.8822539116657,35.958358090711,0
Comedy,Трагик поневоле (Из дачной жизни),1880,Чехов,1,46.6666666666667,3.33333333333333,40,6.66666666666667,3.33333333333333
NotStated,Иванов,1880,Чехов,4,44.1438170010871,5.3165745120485,36.2950266204454,12.0119135042514,2.23266836216765
Comedy,Медведь,1880,Чехов,0,47.7124183006536,6.5359477124183,34.640522875817,10.4575163398693,0.65359477124183
Tragedy,Антигона,1810,Капнист,5,35.2663663663664,1.70608108108108,32.825975975976,30.2015765765766,0
NotStated,Золотопромышленники,1880,Мамин-Сибиряк,4,40.8199581256068,7.18036580413228,31.5622799993137,19.1173992951485,1.31999677579873
Comedy,Юбилей,1890,Чехов,1,42.8571428571429,7.5187969924812,30.8270676691729,15.0375939849624,3.7593984962406
Tragedy,Семира,1750,Сумароков,5,33.3771683661263,2.14452214452215,30.2009827460775,34.2773267432741,0
Comedy,Самолюбивый стихотворец,1780,Николев,5,47.7685843044967,3.76474439433343,29.6034807681999,18.3036184791525,0.559572053817474
Tragedy,Menschen und Leidenschaften,1830,Лермонтов,5,43.4529524871081,7.17632715165922,29.5943474615201,19.0599324773898,0.716440422322775
Tragedy,Пламена,1760,Херасков,5,32.8003489048265,3.03568736404557,29.2447071999311,34.9192565311968,0
NotStated,На дне,1900,Горький,4,52.2726343337443,4.49931659804839,28.7583761060842,13.955293486729,0.514379475394092
Comedy,Корион,1760,Фонвизин,3,41.2388839135995,5.32613943340667,28.7061299250758,23.1415451406164,1.58730158730159
Tragedy,Артистона,1750,Сумароков,5,34.3718674148776,2.97938777536374,28.3160325085593,34.3327123011994,0
Tragedy,Хорев,1740,Сумароков,5,30.4738388816113,1.8925831202046,28.2993367018069,39.3342412963772,0
Tragedy,Венецианская монахиня,1750,Херасков,3,38.9419748722254,2.36585509551795,28.1813846788329,30.2131663058047,0.297619047619048
Tragedy,Демофонт,1750,Ломоносов,5,35.0139951839401,1.94235033259424,28.1003918852277,34.5796262346016,0.363636363636364
NotStated,На большой дороге,1880,Чехов,0,43.5606060606061,1.89393939393939,28.030303030303,25.7575757575758,0.757575757575758
NotStated,Король на площади,1900,Блок,3,55.8262820853955,8.37297997268196,27.902630691998,7.18491121636244,0.713196033562166
Comedy,Иван Васильевич,1930,Булгаков,3,54.1394978708412,4.39668047343954,27.0153766315813,13.1451672389839,1.30327778515412
Comedy,Предложение,1880,Чехов,0,48.2233502538071,11.6751269035533,26.9035532994924,12.1827411167513,1.01522842639594
Comedy,В чужом пиру похмелье,1850,Островский,2,54.2382503949447,3.05465047393365,26.8611769352291,14.8746050552923,0.971317140600316
NotStated,Маскарад,1840,Лермонтов,4,55.6902177588422,5.98143964813168,26.5315492818536,11.4205402614563,0.376253049716227
NotStated,Маленькая правда,1890,Мамин-Сибиряк,4,47.8557907169763,8.54971908318968,26.4144640234949,14.2810178978059,2.89900827853327
NotStated,Американцы,1780,Крылов,2,43.145555193748,11.5225380285621,25.6931199702284,19.4457366144113,0.193050193050193
NotStated,Горькая судьбина,1850,Писемский,4,46.7454180732048,0.826020807927278,25.6092740201363,25.9186093093677,0.900677789363921
Tragedy,Фемист и Иеронима,1770,Майков,5,37.3990400529626,1.23391812865497,25.5884778770826,34.9890902570893,0.789473684210526
Tragedy,"Ермак, покоритель Сибири",1800,Плавильщиков,5,43.2417609688307,9.58755211435378,25.5148015794234,21.6558853373922,0
Comedy,На бойком месте,1860,Островский,3,55.0127866243522,4.45696903343221,25.3252359896505,14.4618179402337,0.743190412331434
Tragedy,"Вельзен, или освобожденная Голландия",1810,Глинка,5,34.2829023511051,6.14117955776942,25.2638007154136,34.3121173757119,0
NotStated,"Не так живи, как хочется",1850,Островский,3,44.8573573573574,6.34163575340046,25.1678148736972,21.6392863451687,1.99390567037626
Tragedy,Синав и Трувор,1750,Сумароков,5,28.3388962733225,1.42805100182149,24.6777433170876,45.5553094077684,0
NotStated,Гроза,1850,Островский,5,54.3408556457839,5.19852709064423,24.6114010210146,14.6678238384344,1.18139240412292
NotStated,Неосторожность,1840,Тургенев,0,50.4901960784314,5.63725490196079,24.5098039215686,18.3823529411765,0.980392156862745
Tragedy,Вадим Новгородский,1790,Княжнин,5,30.3711689623003,2.0275470205344,24.4134778326791,43.1878061844862,0
NotStated,Егор Булычов и другие,1930,Горький,3,62.9975877232405,3.33626008075734,24.353571462201,7.76994173041908,1.54263900338215
Comedy,Леший,1880,Чехов,4,50.886654287183,11.249112292569,24.2043750660737,10.036793455498,3.62306489867627
Comedy,Смерть Пазухина,1850,Салтыков-Щедрин,4,45.5200947006407,3.74090400457283,24.1066881323758,25.003469986983,1.62884317542769
Tragedy,Гамлет,1740,Сумароков,5,29.217797017797,1.24074074074074,23.8084175084175,45.7330447330447,0
NotStated,Васса Железнова (Мать),1910,Горький,3,58.6560816195066,5.53134091082811,23.7322118210153,10.7396218563452,1.34074379230477
NotStated,Дядя Ваня,1890,Чехов,4,59.626036292703,7.1532109032109,23.702280368947,7.84122992456326,1.67724251057584
Tragedy,Агриопа,1760,Майков,5,41.6751045564605,3.5066035659256,23.6941448382126,30.7605106757649,0.363636363636364
NotStated,Расточитель,1860,Лесков,5,54.711604218538,3.62840309925272,23.3740004198923,16.8118002517891,1.47419201052785
NotStated,Гондла,1910,Гумилёв,4,40.734853121175,5.47670047211051,23.031801888442,30.7566445182724,0
