,decade,title,author,act,normalizedGenre,numOfSpeakersMale,numOfSpeakersFemale,numOfActs,meanNEUTRAL,meanPOSITIVE,meanNEGATIVE,meanSKIP,meanSPEECH,countNEUTRAL,countPOSITIVE,countNEGATIVE,countSKIP,countSPEECH,avg_text_len,totalCOUNT,percentNEUTRAL,percentPOSITIVE,percentNEGATIVE,percentSKIP,percentSPEECH
103,1780,Расстроенная семья острожками и подозрениями,ЕкатеринаII,1,Comedy,7,3,4,0.873569239762204,0.800734567642212,0.814894300699234,0.624018025398254,0.746606717507044,121,5,10,20,3,66.0943396226415,159,76.1006289308176,3.14465408805032,6.28930817610063,12.5786163522013,1.88679245283019
104,1780,Расстроенная семья острожками и подозрениями,ЕкатеринаII,2,Comedy,7,3,4,0.865095360976894,0.874115273356438,0.759379049142202,0.628895572253636,0.823118016123772,123,4,12,14,4,67.312101910828,157,78.343949044586,2.54777070063694,7.64331210191083,8.9171974522293,2.54777070063694
105,1780,Расстроенная семья острожками и подозрениями,ЕкатеринаII,3,Comedy,7,3,4,0.890973985731173,0.857140205800533,0.806116315903086,0.655061249480103,,278,16,66,33,0,60.2519083969466,393,70.7379134860051,4.07124681933842,16.793893129771,8.3969465648855,0
106,1780,Расстроенная семья острожками и подозрениями,ЕкатеринаII,4,Comedy,7,3,4,0.85547870473984,0.873290712634722,0.765514197448889,0.628537809306925,0.626777410507202,117,6,24,22,3,78.2441860465116,172,68.0232558139535,3.48837209302326,13.953488372093,12.7906976744186,1.74418604651163
220,1820,Благородный театр,Загоскин,1,Comedy,12,5,4,0.865241933176775,0.805562746745569,0.819006349729455,0.635955154090314,0.790200213591258,213,27,69,37,6,61.9005681818182,352,60.5113636363636,7.67045454545455,19.6022727272727,10.5113636363636,1.70454545454545
221,1820,Благородный театр,Загоскин,2,Comedy,12,5,4,0.868867104729781,0.817229101532384,0.867077133872292,0.596147156927897,0.981855928897858,208,19,55,46,1,62.5045592705167,329,63.2218844984802,5.77507598784195,16.7173252279635,13.9817629179331,0.303951367781155
222,1820,Благородный театр,Загоскин,3,Comedy,12,5,4,0.892936837466466,0.848816612833425,0.798054912686348,0.675224936614602,,173,19,50,59,0,68.0299003322259,301,57.4750830564784,6.31229235880399,16.6112956810631,19.6013289036545,0
223,1820,Благородный театр,Загоскин,4,Comedy,12,5,4,0.892839996947183,0.777798101305962,0.819668496151765,0.658123703733567,0.630311369895935,225,10,60,62,1,45.2709497206704,358,62.8491620111732,2.79329608938548,16.7597765363129,17.31843575419,0.279329608938548
225,1820,"Воспитание, или вот приданое",Кокошкин,1,Comedy,7,4,4,0.843236428630703,0.818705177969403,0.820179346948862,0.689035695703591,0.738730776309967,136,18,32,68,5,84.3166023166023,259,52.5096525096525,6.94980694980695,12.3552123552124,26.2548262548263,1.93050193050193
226,1820,"Воспитание, или вот приданое",Кокошкин,2,Comedy,7,4,4,0.823546629665153,0.77583581776846,0.772425763747271,0.691084489003936,0.809624940156937,112,21,17,67,4,84.7828054298643,221,50.6787330316742,9.50226244343891,7.69230769230769,30.316742081448,1.80995475113122
