,decade,title,author,act,normalizedGenre,numOfSpeakersMale,numOfSpeakersFemale,numOfActs,meanNEUTRAL,meanPOSITIVE,meanNEGATIVE,meanSKIP,meanSPEECH,countNEUTRAL,countPOSITIVE,countNEGATIVE,countSKIP,countSPEECH,avg_text_len,totalCOUNT,percentNEUTRAL,percentPOSITIVE,percentNEGATIVE,percentSKIP,percentSPEECH
15,1750,Венецианская монахиня,Херасков,1,Tragedy,6,1,3,0.751136988401413,0.888059258460999,0.704870313405991,0.643969545140863,,26,1,10,16,0,243.811320754717,53,49.0566037735849,1.88679245283019,18.8679245283019,30.188679245283,0
16,1750,Венецианская монахиня,Херасков,2,Tragedy,6,1,3,0.751228955984116,0.598100244998932,0.683177110694704,0.573792832238334,,25,1,21,14,0,284.868852459016,61,40.9836065573771,1.63934426229508,34.4262295081967,22.9508196721312,0
17,1750,Венецианская монахиня,Херасков,3,Tragedy,6,1,3,0.732647780577342,0.789935737848282,0.709506974901472,0.658058790223939,0.902000784873962,30,4,35,42,1,179.553571428571,112,26.7857142857143,3.57142857142857,31.25,37.5,0.892857142857143
41,1750,Чудовищи,Сумароков,1,Comedy,8,3,3,0.861162576451898,0.815488263964653,0.853864272125065,0.59786979953448,,80,4,32,15,0,73.1374045801527,131,61.0687022900763,3.05343511450382,24.4274809160305,11.4503816793893,0
42,1750,Чудовищи,Сумароков,2,Comedy,8,3,3,0.838879568442222,0.914260375499725,0.811882606574467,0.602353553409162,0.975583791732788,62,5,21,23,1,100.392857142857,112,55.3571428571429,4.46428571428571,18.75,20.5357142857143,0.892857142857143
43,1750,Чудовищи,Сумароков,3,Comedy,8,3,3,0.829552250892617,0.703048944473267,0.792547957102458,0.593651616573334,0.689486831426621,86,4,15,15,2,83.6229508196721,122,70.4918032786885,3.27868852459016,12.2950819672131,12.2950819672131,1.63934426229508
54,1760,Корион,Фонвизин,1,Comedy,4,1,3,0.831285033907209,0.704243957996368,0.769331090980106,0.593705892562866,,42,1,18,12,0,177.013698630137,73,57.5342465753425,1.36986301369863,24.6575342465753,16.4383561643836,0
55,1760,Корион,Фонвизин,2,Comedy,4,1,3,0.775797548294067,0.852156559626261,0.791868133677377,0.639256534668116,,25,3,18,13,0,308.440677966102,59,42.3728813559322,5.08474576271187,30.5084745762712,22.0338983050847,0
56,1760,Корион,Фонвизин,3,Comedy,4,1,3,0.860029417276383,0.75227165222168,0.846029691971265,0.549834432510229,0.876375377178192,10,4,13,13,2,199.785714285714,42,23.8095238095238,9.52380952380952,30.952380952381,30.952380952381,4.76190476190476
74,1770,О время!,ЕкатеринаII,1,Comedy,2,5,3,0.812024616769382,0.774610109627247,0.748623026907444,0.661811132180063,,70,8,20,19,0,220.017094017094,117,59.8290598290598,6.83760683760684,17.0940170940171,16.2393162393162,0
75,1770,О время!,ЕкатеринаII,2,Comedy,2,5,3,0.825266829476907,0.790366843342781,0.866876702417027,0.618511300195347,0.848100960254669,52,4,11,22,1,127.677777777778,90,57.7777777777778,4.44444444444445,12.2222222222222,24.4444444444444,1.11111111111111
76,1770,О время!,ЕкатеринаII,3,Comedy,2,5,3,0.850326108521429,0.681744317213694,0.729364655519787,0.622281131419269,0.459209114313126,29,3,19,22,1,155.783783783784,74,39.1891891891892,4.05405405405405,25.6756756756757,29.7297297297297,1.35135135135135
99,1780,"Неудачный примиритель, или Без обеду домой поеду",Княжнин,1,Comedy,4,2,3,0.88829082334153,0.873306053025382,0.856782786986407,0.68279656569163,0.669059574604034,107,7,17,15,2,85.945945945946,148,72.2972972972973,4.72972972972973,11.4864864864865,10.1351351351351,1.35135135135135
100,1780,"Неудачный примиритель, или Без обеду домой поеду",Княжнин,2,Comedy,4,2,3,0.872300794047694,0.887318919102351,0.842156021959252,0.586493595441182,0.671662598848343,186,18,36,15,2,79.4280155642023,257,72.3735408560311,7.00389105058366,14.0077821011673,5.83657587548638,0.778210116731518
101,1780,"Неудачный примиритель, или Без обеду домой поеду",Княжнин,3,Comedy,4,2,3,0.881536879682843,0.821263832705362,0.791163784676585,0.59647702628916,0.994153082370758,158,14,29,22,2,88.6,225,70.2222222222222,6.22222222222222,12.8888888888889,9.77777777777778,0.888888888888889
107,1780,Рогоносец по воображению,Сумароков,1,Comedy,4,3,3,0.830541794790941,0.761855761210124,0.86910294579423,0.683837669236319,0.951319634914398,85,9,23,42,1,83.75625,160,53.125,5.625,14.375,26.25,0.625
108,1780,Рогоносец по воображению,Сумароков,2,Comedy,4,3,3,0.832722943840605,0.827675523857276,0.873279353846674,0.659825686365366,0.802553474903107,66,12,23,16,2,76,119,55.4621848739496,10.0840336134454,19.327731092437,13.4453781512605,1.68067226890756
109,1780,Рогоносец по воображению,Сумароков,3,Comedy,4,3,3,0.791734961086306,0.836392651001612,0.829246178269386,0.656660048857979,,58,6,12,23,0,81.3939393939394,99,58.5858585858586,6.06060606060606,12.1212121212121,23.2323232323232,0
138,1790,Выбор гувернера,Фонвизин,1,Comedy,6,6,3,0.880336280276136,0.703447749217351,0.882554316520691,0.61133226454258,,82,3,10,10,0,82.9809523809524,105,78.0952380952381,2.85714285714286,9.52380952380952,9.52380952380952,0
139,1790,Выбор гувернера,Фонвизин,3,Comedy,6,6,3,0.860683263451965,0.778523236513138,0.772948980331421,0.587392091751099,,54,4,7,4,0,103.289855072464,69,78.2608695652174,5.79710144927536,10.1449275362319,5.79710144927536,0
180,1800,Модная лавка,Крылов,1,Comedy,6,5,3,0.799595018023068,0.87368196911282,0.833616917686803,0.665442479106615,,97,9,28,53,0,97.5294117647059,187,51.8716577540107,4.81283422459893,14.9732620320856,28.3422459893048,0
181,1800,Модная лавка,Крылов,2,Comedy,6,5,3,0.788261122402103,0.823591405695135,0.779154735452989,0.748541515539674,0.992027461528778,87,11,34,68,1,95.9004975124378,201,43.2835820895522,5.4726368159204,16.9154228855721,33.8308457711443,0.497512437810945
182,1800,Модная лавка,Крылов,3,Comedy,6,5,3,0.813613845268264,0.7504826237758,0.794263818434307,0.695308214163079,0.570419311523438,128,12,49,68,1,90.4186046511628,258,49.6124031007752,4.65116279069768,18.9922480620155,26.3565891472868,0.387596899224806
183,1800,"Неслыханное диво, или честный секретарь",Судовщиков,1,Comedy,7,2,3,0.794047410955134,0.803947353363037,0.759257323543231,0.65818357016101,0.741738299528758,97,5,30,33,3,109.875,168,57.7380952380952,2.97619047619048,17.8571428571429,19.6428571428571,1.78571428571429
184,1800,"Неслыханное диво, или честный секретарь",Судовщиков,2,Comedy,7,2,3,0.823059942500264,0.904440075159073,0.840955597162247,0.637341878630898,0.715056300163269,102,2,35,44,2,90.1351351351351,185,55.1351351351351,1.08108108108108,18.9189189189189,23.7837837837838,1.08108108108108
185,1800,"Неслыханное диво, или честный секретарь",Судовщиков,3,Comedy,7,2,3,0.86092824145915,0.771048659458756,0.755222522550159,0.674411887028178,0.855477069105421,126,16,36,61,7,104.727642276423,246,51.219512195122,6.50406504065041,14.6341463414634,24.7967479674797,2.84552845528455
