,author,percentNEUTRAL,percentPOSITIVE,percentNEGATIVE,percentSKIP,percentSPEECH,countPLAY
34,Островский,61.2128752352434,6.11144728687855,18.0136245174816,13.0102838190083,1.65176914138817,38
45,Сумароков,40.2655449128257,3.0884450674561,23.2955357827829,33.0401008957818,0.310373341153508,14
54,Чехов,52.3840161939336,8.56192732691632,25.2302003743956,11.6381491366685,2.18570696808593,14
6,Булгаков,61.1338490143442,6.11434462185873,19.2005886791546,11.3108909825133,2.24032670212917,10
49,Тургенев,64.1227935465121,7.014476095612,16.1377355870958,10.904553410237,1.82044136054315,9
8,Гоголь,64.515752155746,6.67776575938322,15.9071121086397,10.3763209348077,2.52304904142344,8
17,Княжнин,44.7567842599125,4.12377982307557,20.3003355747386,30.4319392953023,0.387161046970983,8
20,Крылов,39.7141981524914,6.25456532294075,25.4458468809022,28.0425782012477,0.542811442417986,8
40,Пушкин,52.0079433724543,5.30940868937312,18.1628876082117,22.6718362026717,1.84792412728918,7
39,Прутков,55.6661138070985,11.6838012146516,13.3029693203926,18.6906791702188,0.656436487638534,6
47,Толстой,61.1259618753959,4.28033487122758,15.366838152275,17.6881661538968,1.53869894720484,5
11,Гумилёв,48.1797173581795,6.45817721213332,18.3246082398688,26.4422590945803,0.595238095238095,4
31,Некрасов,50.7993697655447,5.28388577119714,18.3151418193972,24.963036452283,0.638566191577955,4
50,Фонвизин,56.7511647353749,5.97381027593669,17.1045344441681,19.2456062128649,0.924884331655464,4
53,Хмельницкий,59.3486170959166,9.50171699237242,14.5135295010072,15.9343287905489,0.70180762015489,4
55,Шаховской,62.2856001998835,7.58637607922181,14.8722311165358,14.3781136745328,0.877678929826018,4
0,Андреев,58.4049392573787,7.79119037059471,19.1880765115894,12.7113724554394,1.90442140499786,3
5,Блок,57.590418057928,9.7698272846223,21.3325894983565,10.6698234551863,0.637341703906933,3
9,Горький,57.4051545363218,4.46000693669499,25.9290854273986,11.1349864707209,1.07076662886371,3
13,ЕкатеринаII,72.0895514259405,5.15609941212352,10.2093817617346,11.8248664283313,0.720100971870102,3
23,Лермонтов,48.8817174256408,6.67560348342065,27.2829052259789,16.4244663311928,0.735307533766912,3
28,Маяковский,61.9320389058004,6.55845966265145,18.9149828089425,12.0429049951468,0.551613627458843,3
36,Писарев,57.3752317994628,8.05484902806089,14.4186266101569,19.4166485103264,0.734644051992985,3
46,Сухово-Кобылин,64.2685712888409,4.8890341073457,16.3422720814585,13.5524050472016,0.947717475153353,3
51,Херасков,38.1479165915896,2.86926592983024,25.4060334256858,33.3840332553049,0.192750797589507,3
3,Бабель,68.7132183244865,3.71581467805216,14.0384837295177,12.2697899838449,1.26269328409878,2
10,Грибоедов,55.4509784496275,4.78807841283964,17.4637089431166,21.3516902286515,0.945543965764836,2
15,Капнист,49.1815767583111,3.39912732854547,25.0812160830083,21.0903601997632,1.247719630372,2
25,Ломоносов,37.1296321234083,4.02252100901327,21.5291271582281,36.9445938352245,0.374125874125874,2
26,Майков,39.5370723047115,2.37026084729029,24.6413113576476,32.8748004664271,0.576555023923445,2
27,Мамин-Сибиряк,44.3378744212916,7.86504244366098,28.9883720114043,16.6992085964772,2.109502527166,2
38,Плавильщиков,43.6558834284415,8.7018774742122,24.3250127121976,23.0323261002485,0.284900284900285,2
1,Арцыбашев,46.0174586485821,3.57881418719952,19.6597035793194,29.8395071371101,0.904516447788839,1
2,Афиногенов,66.6496230543442,8.20344400855741,12.2343343704439,10.2352573200749,2.67734124657965,1
4,Бельский,31.6163870851371,9.84487734487734,14.7891865079365,42.6979617604618,1.0515873015873,1
7,Глинка,34.2829023511051,6.14117955776942,25.2638007154136,34.3121173757119,0,1
12,Дашкова,50.7977673182005,5.76434162384621,16.9999193868683,25.1379374596583,1.30003421142662,1
14,Загоскин,61.0143733006239,5.63777974537149,17.4226675431531,15.3532228030353,0.571956607816289,1
16,Кедрин,60.8323436247876,4.66022070473111,19.7430261063293,13.9185093811955,0.845900182956456,1
18,Кокошкин,50.6324893339873,7.27866231603875,11.6845471326351,29.3645845364704,1.03971668086854,1
19,Кропотов,65.5460784313726,3.47647058823529,11.1029411764706,19.0745098039216,0.8,1
21,Лажечников,42.9851869779125,8.96395902289654,16.6035213936533,29.6018568656846,1.84547573985308,1
22,Ленский,51.9266055045872,12.1100917431193,14.1284403669725,19.8165137614679,2.01834862385321,1
24,Лесков,54.711604218538,3.62840309925272,23.3740004198923,16.8118002517891,1.47419201052785,1
29,Мережковский,59.4869246895866,5.60450726008977,20.2781656473726,13.1802219763644,1.45018042658664,1
30,Найдёнов,64.9654428918348,5.06939073293773,21.4084277344021,7.55491349271267,1.0018251481127,1
32,Николев,47.7685843044967,3.76474439433343,29.6034807681999,18.3036184791525,0.559572053817474,1
33,Озеров,50.1353946706888,2.1860231271996,14.0868275515334,33.5917546505782,0,1
35,Петров,65.0357272460053,11.3227963816137,14.732116406047,3.74670848113185,5.16265148520209,1
37,Писемский,46.7454180732048,0.826020807927278,25.6092740201363,25.9186093093677,0.900677789363921,1
41,Ростопчина,47.6923309178744,6.88549795615013,19.7887634708287,24.0383221850613,1.59508547008547,1
42,Салтыков-Щедрин,45.5200947006407,3.74090400457283,24.1066881323758,25.003469986983,1.62884317542769,1
43,Соллогуб,74.4186046511628,4.26356589147287,11.2403100775194,9.30232558139535,0.775193798449612,1
44,Судовщиков,54.6975808561174,3.52044553264066,17.1367360391751,22.7411296313735,1.90410794069331,1
48,Третьяков,73.7268342541969,2.28109577945558,14.8037143105094,8.45542152410156,0.732934131736527,1
